Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,133.06,197.09,21.68,96.6,118.28,65.04,10.19,1.64,14.3,6.36,,,,,,,83.74,0.82,22.88,0.0,0.0,7.35,,
2020-01-01 01:00:00,139.79,231.4,22.39,94.98,117.37,66.6,12.45,1.9,10.09,6.93,,,,,,,88.16,0.82,38.78,0.0,0.0,6.32,,
2020-01-01 02:00:00,140.64,233.88,21.66,84.21,105.87,62.04,10.86,1.72,8.0,7.03,,,,,,,92.52,0.95,118.25,0.0,0.0,6.05,,
2020-01-01 03:00:00,141.4,235.71,15.28,55.04,70.32,54.3,10.48,1.23,24.87,6.55,,,,,,,89.53,1.0,21.26,0.0,0.0,6.28,,
2020-01-01 04:00:00,133.4,204.38,14.98,41.8,56.77,51.13,8.48,0.88,38.64,4.62,,,,,,,85.78,0.58,23.66,0.0,0.0,6.42,,
2020-01-01 05:00:00,116.23,183.28,12.82,46.84,59.66,51.86,7.64,0.85,25.5,4.56,,,,,,,90.5,0.55,139.99,0.0,0.0,5.98,,
2020-01-01 06:00:00,109.14,170.72,14.66,55.11,69.76,54.6,7.47,0.95,22.93,4.77,,,,,,,89.94,0.64,180.98,0.0,0.0,22.12,,
2020-01-01 07:00:00,124.84,175.97,17.13,69.35,86.48,65.12,14.01,1.83,19.4,7.32,,,,,,,84.19,0.73,18.88,0.0,0.0,82.9,,
2020-01-01 08:00:00,134.48,195.97,16.5,72.59,89.09,64.36,19.88,1.68,25.95,7.96,,,,,,,75.66,0.68,17.94,0.0,0.0,217.38,,
2020-01-01 09:00:00,138.72,209.05,14.71,47.92,62.64,54.07,14.31,1.01,42.47,5.99,,,,,,,61.7,0.97,19.1,0.0,0.0,224.0,,
2020-01-01 10:00:00,120.19,184.7,14.3,37.66,51.96,47.92,10.42,0.62,60.59,3.64,,,,,,,52.04,1.15,17.34,0.0,0.0,220.7,,
2020-01-01 11:00:00,100.11,170.68,15.64,60.19,75.84,54.42,16.45,0.91,48.81,3.9,,,,,,,56.49,0.59,245.3,0.0,0.0,100.58,,
2020-01-01 12:00:00,97.98,166.46,14.9,46.42,61.32,52.02,14.31,0.65,59.5,4.17,,,,,,,52.88,0.88,18.94,0.0,0.0,214.88,,
2020-01-01 13:00:00,86.88,160.17,15.02,44.63,59.64,53.97,11.97,0.73,57.43,3.65,,,,,,,55.97,0.61,181.66,0.0,0.0,94.2,,
2020-01-01 14:00:00,85.0,157.5,14.67,46.48,61.14,54.29,12.16,0.74,48.76,3.85,,,,,,,58.64,1.18,12.53,0.0,0.0,59.63,,
2020-01-01 15:00:00,83.37,148.2,13.8,49.7,63.5,54.84,10.56,0.77,45.52,3.88,,,,,,,60.77,0.97,9.54,0.0,0.0,33.45,,
2020-01-01 16:00:00,84.58,154.65,15.35,67.15,82.5,59.28,13.18,1.1,33.25,4.74,,,,,,,68.13,0.66,91.31,0.0,0.0,20.15,,
2020-01-01 17:00:00,96.4,160.93,18.78,67.92,86.7,60.93,17.47,1.39,26.78,5.34,,,,,,,73.45,0.66,17.5,0.0,0.0,5.98,,
2020-01-01 18:00:00,101.12,172.77,23.59,81.66,105.25,63.47,13.02,1.58,16.02,6.5,,,,,,,75.34,0.73,16.31,0.0,0.0,6.12,,
2020-01-01 19:00:00,117.62,191.36,24.9,82.86,107.77,65.04,12.08,1.76,12.06,6.97,,,,,,,79.21,0.97,25.25,0.0,0.0,5.8,,
2020-01-01 20:00:00,116.8,195.16,17.59,76.18,93.76,58.76,12.03,1.42,18.11,5.62,,,,,,,80.56,1.05,99.55,0.0,0.0,7.08,,
2020-01-01 21:00:00,112.62,184.32,16.33,61.18,77.51,57.33,10.09,1.12,19.98,5.18,,,,,,,79.97,0.66,95.57,0.0,0.0,6.48,,
2020-01-01 22:00:00,105.88,171.33,15.48,55.16,70.64,55.99,8.98,0.93,24.61,4.57,,,,,,,81.44,0.68,20.85,0.0,0.0,7.07,,
2020-01-01 23:00:00,102.91,152.68,14.8,49.21,64.0,53.89,8.93,0.76,23.05,4.13,,,,,,,83.07,0.71,13.24,0.0,0.0,6.68,,
2020-01-02 00:00:00,101.02,146.18,13.74,43.68,57.42,51.27,8.09,0.68,24.63,3.47,,,,,,,84.99,0.84,15.04,0.0,0.0,5.52,,
2020-01-02 01:00:00,99.07,138.93,14.74,39.47,54.22,50.74,7.92,0.77,20.56,4.01,,,,,,,88.21,0.98,13.66,0.0,0.0,6.18,,
2020-01-02 02:00:00,86.98,135.06,13.76,30.85,44.6,49.17,7.58,0.78,20.64,4.26,,,,,,,91.62,0.58,130.53,0.0,0.0,6.18,,
2020-01-02 03:00:00,88.57,136.6,17.77,38.52,56.3,50.0,7.38,0.81,12.81,3.92,,,,,,,94.83,0.59,192.76,0.0,0.0,6.93,,
2020-01-02 04:00:00,89.7,130.59,18.04,41.74,59.79,51.4,7.5,0.89,9.42,4.07,,,,,,,96.49,0.77,193.88,0.0,0.0,6.18,,
2020-01-02 05:00:00,91.13,130.07,22.42,42.32,64.73,55.92,8.86,1.1,6.49,4.63,,,,,,,96.47,0.89,87.3,0.0,0.0,6.62,,
2020-01-02 06:00:00,95.2,140.87,17.55,36.49,54.03,53.91,8.16,1.15,7.79,5.02,,,,,,,97.16,0.68,152.74,0.0,0.0,16.58,,
2020-01-02 07:00:00,93.39,147.62,29.2,50.23,79.44,61.81,8.45,1.38,6.79,5.92,,,,,,,94.92,0.9,12.06,0.0,0.0,62.7,,
2020-01-02 08:00:00,108.88,159.71,18.9,50.57,69.47,56.04,11.68,1.0,18.73,5.9,,,,,,,81.18,0.62,96.27,0.0,0.0,183.08,,
2020-01-02 09:00:00,112.66,168.02,17.63,43.01,60.64,52.46,12.73,0.78,34.14,4.32,,,,,,,70.14,0.44,149.9,0.0,0.0,186.3,,
2020-01-02 10:00:00,99.89,166.99,16.17,51.83,68.0,51.39,13.93,0.68,33.53,3.71,,,,,,,64.01,0.68,102.2,0.0,0.0,278.25,,
2020-01-02 11:00:00,,,16.43,46.36,62.79,50.75,,0.52,48.81,3.05,,,,,,,54.78,1.0,28.04,0.0,0.0,258.92,,
2020-01-02 12:00:00,70.37,110.05,13.24,38.76,52.19,53.21,21.51,0.74,67.0,3.19,,,,,,,53.36,1.39,18.58,0.0,0.0,459.35,,
2020-01-02 13:00:00,71.52,112.99,3.7,24.23,27.78,58.03,17.08,0.76,66.56,3.62,,,,,,,52.54,1.13,12.43,0.0,0.0,229.45,,
2020-01-02 14:00:00,66.08,111.25,3.29,30.4,33.69,51.79,11.94,0.49,54.16,2.93,,,,,,,59.48,0.99,14.84,0.0,0.0,96.4,,
2020-01-02 15:00:00,66.25,108.36,5.46,39.42,44.89,53.13,12.16,0.6,48.94,,,,,,,,63.99,0.88,15.42,0.0,0.0,45.68,,
2020-01-02 16:00:00,75.59,112.86,5.78,44.32,50.1,54.48,12.42,0.63,,,,,,,,,67.15,0.99,19.3,0.0,0.0,25.52,,
2020-01-02 17:00:00,72.65,112.21,4.53,44.4,48.93,53.39,13.05,0.62,32.81,4.01,,,,,,,73.96,1.19,13.81,0.0,0.0,5.2,,
2020-01-02 18:00:00,69.39,112.49,5.52,64.89,70.41,67.46,13.34,0.75,19.98,3.17,,,,,,,76.87,1.01,91.87,0.0,0.0,6.8,,
2020-01-02 19:00:00,66.78,115.88,6.92,58.49,65.4,64.96,11.74,0.9,18.15,3.88,,,,,,,79.01,1.0,73.75,0.0,0.0,6.88,,
2020-01-02 20:00:00,67.41,118.13,4.67,53.37,58.04,59.07,10.63,0.79,18.69,3.74,,,,,,,83.64,0.82,67.56,0.0,0.0,6.45,,
2020-01-02 21:00:00,71.16,117.56,4.22,46.46,50.68,56.61,9.89,0.94,16.34,3.34,,,,,,,85.28,1.12,175.84,0.0,0.0,6.52,,
2020-01-02 22:00:00,73.47,116.84,5.02,48.82,53.84,62.59,9.67,1.27,11.98,4.72,,,,,,,87.37,0.9,124.27,0.0,0.0,6.12,,
2020-01-02 23:00:00,76.63,119.37,4.61,47.14,51.76,55.22,10.07,1.03,8.5,16.34,,,,,,,89.96,1.14,106.19,0.0,0.0,5.98,,
2020-01-03 00:00:00,79.99,124.67,5.94,46.16,52.11,55.16,8.75,1.02,2.92,4.14,,,,,,,97.06,0.82,22.75,0.75,3.0,7.48,,
2020-01-03 01:00:00,87.0,132.67,5.08,40.15,45.23,54.94,8.34,1.01,5.03,4.45,,,,,,,97.23,0.81,132.29,0.65,2.6,7.5,,
2020-01-03 02:00:00,87.37,130.5,4.19,28.84,33.03,47.05,7.62,0.74,11.88,3.84,,,,,,,97.26,0.55,189.23,0.55,2.2,7.15,,
2020-01-03 03:00:00,76.95,117.95,4.57,20.54,25.12,41.63,6.96,0.59,12.75,2.89,,,,,,,97.28,0.92,93.34,0.3,1.2,7.35,,
