system:index,datetime,dewpoint_temperature_2m,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,.geo
20240101T00,2024-01-01 00:00:00,284.24112101011025,100325.55599973998,285.4988283767583,1.3376971570967287E-6,1.1650636600120983,-1.7581392609724573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T01,2024-01-01 01:00:00,283.98326471809486,100382.51586781925,285.1489708372305,0.0,1.2164550662227704,-1.6420143945099859,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T02,2024-01-01 02:00:00,284.4774429778622,100449.16525617302,286.1140041190414,0.0,1.0560979716867112,-1.3091026610554055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T03,2024-01-01 03:00:00,285.0569269734791,100514.71488255479,288.9802195192309,0.0,1.0572247560777552,-1.2998190264536293,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T04,2024-01-01 04:00:00,285.57718702099595,100568.62762828862,291.55383223869535,0.0,1.024828403945162,-1.3193381023260087,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T05,2024-01-01 05:00:00,286.055583590699,100506.00476337623,293.45809529130787,0.0,1.1683681610455432,-1.3195859503233593,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T06,2024-01-01 06:00:00,286.4755330363975,100412.15456687966,294.77796215173987,0.0,1.5523532552248918,-1.223533027281617,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T07,2024-01-01 07:00:00,286.1672064530947,100291.02644218878,295.0081815019242,0.0,1.948257795162419,-1.7744480220490597,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T08,2024-01-01 08:00:00,285.4005844994002,100201.28412055578,295.49079571244334,0.0,1.9429814097472564,-1.7554869063488423,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T09,2024-01-01 09:00:00,284.51531041153765,100134.47367477725,295.59822085840085,0.0,1.7914975159164914,-1.7684423479618194,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T10,2024-01-01 10:00:00,283.67102948537166,100099.351289487,295.2742572439269,0.0,1.5493348736820758,-1.7228982200581069,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T11,2024-01-01 11:00:00,284.19826586862644,100107.09635792022,294.1669837235476,0.0,1.0064567667151614,-1.427116366227972,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T12,2024-01-01 12:00:00,283.9870292916603,100148.15177928757,292.51716493022263,8.597968985668558E-7,0.9079046506920928,-1.8170004165233056,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T13,2024-01-01 13:00:00,283.84738576620254,100226.27325622721,290.91819238730767,8.597968985668558E-7,0.739191546830869,-2.0049746264581527,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T14,2024-01-01 14:00:00,283.6618744874972,100282.29930004674,289.6228666635845,8.52346317969932E-7,0.5825192285193511,-2.168399967061699,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T15,2024-01-01 15:00:00,283.4893541537258,100334.22200120638,288.53186237127596,8.52346317969932E-7,0.49905017525741374,-2.2415222957839127,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T16,2024-01-01 16:00:00,283.3837258832172,100357.16857698493,287.59623450267475,8.52346317969932E-7,0.4700027401781138,-2.1755863663360744,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T17,2024-01-01 17:00:00,283.36979697307805,100376.07614375124,286.75004981018856,8.52346317969932E-7,0.5728350117582994,-2.066346549101056,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T18,2024-01-01 18:00:00,283.3829184949698,100340.02031821849,286.00147612973785,8.52346317969932E-7,0.7534451856153216,-1.942780982004888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T19,2024-01-01 19:00:00,283.3470421481565,100356.72828933765,285.42001575707883,8.52346317969932E-7,1.00952843036156,-1.9323474954594868,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T20,2024-01-01 20:00:00,283.29054477254,100315.66662063095,285.0119900738537,8.52346317969932E-7,0.9599055078200204,-1.8891915329395408,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T21,2024-01-01 21:00:00,283.1706395935235,100283.6151506109,284.6496132747921,8.52346317969932E-7,0.9362487435039353,-1.860497065329086,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T22,2024-01-01 22:00:00,283.0328685504937,100274.20063884821,284.3601578838835,8.52346317969932E-7,1.0300237347383736,-1.8116458364984214,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240101T23,2024-01-01 23:00:00,282.879197568523,100241.65852661713,284.0667115730498,8.52346317969932E-7,1.1733100379338923,-1.6618190749856225,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240102T00,2024-01-02 00:00:00,282.70128285920407,100277.62214688692,283.8002930215773,8.52346317969932E-7,1.3094696767680527,-1.532288143040391,"{""type"":""MultiPoint"",""coordinates"":[]}"
