Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,201.12,437.3375,7.18,43.605,50.785,29.325,10.175,0.74,41.2925,14.495,11.135,,,1.76,5.765,16.79,99.255,0.8625,272.2275,0.0,0.0,8.3,1018.325,0.1
2023-01-01 01:00:00,179.2175,370.42,6.8925,41.07,47.9625,29.145,9.44,0.625,48.14,11.48,8.1675,,,1.185,3.75,16.7175,99.255,1.075,93.14,0.0,0.0,7.425,1018.075,0.105
2023-01-01 02:00:00,158.5775,297.05,6.915,37.575,44.4925,28.7325,8.1975,0.6675,43.1075,11.0975,7.5375,,,1.1075,3.3275,16.095,99.29,0.95,27.5725,0.0,0.0,5.875,1017.725,0.11
2023-01-01 03:00:00,156.305,322.305,6.6525,34.7225,41.375,27.875,7.67,0.88,40.14,12.2525,9.765,,,1.17,3.4425,15.6325,99.3375,0.8475,99.23,0.0,0.0,6.85,1017.6,0.13
2023-01-01 04:00:00,163.265,367.3075,6.085,32.6325,38.7175,26.98,7.245,0.8674999999999999,37.8025,14.2225,9.9225,,,1.32,3.925,15.1975,99.37,0.8500000000000001,7.97,0.0,0.0,6.7,1017.8,0.125
2023-01-01 05:00:00,158.03,353.5075,7.065,34.4775,41.5425,26.6125,7.1175,0.9625,29.375,13.87,9.1275,,,1.2325,3.67,14.815,99.39,0.7525,100.285,0.0,0.0,6.875,1018.375,0.11
2023-01-01 06:00:00,157.235,334.5,6.985,35.0825,42.0675,26.765,7.57,1.005,33.0875,16.927500000000002,11.225,,,1.635,4.9475,15.0275,99.4,1.05,89.68,0.0,0.0,17.775,1019.5,0.105
2023-01-01 07:00:00,165.9275,368.71,6.625,34.135000000000005,40.7625,26.3075,7.755000000000001,0.8425,38.7375,13.52,8.8675,,,1.265,4.195,15.98,99.3725,1.04,97.35,0.0,0.0,70.05,1020.425,0.1
2023-01-01 08:00:00,169.94,385.715,7.0575,35.432500000000005,42.4875,26.025,8.9875,0.8825000000000001,37.4925,14.0675,9.245,,,1.405,4.6325,17.37,99.315,0.9825,19.6275,0.0,0.0,149.725,1021.325,0.1275
2023-01-01 09:00:00,168.85750000000002,374.16,6.9675,36.74,43.7075,26.5025,14.7975,1.1125,46.1425,14.9475,9.98,,,1.52,4.9325,19.5625,98.305,0.625,34.66,0.0,0.0,210.375,1021.4,0.11
2023-01-01 10:00:00,166.3975,355.0925,6.69,36.0625,42.755,27.2125,23.7875,0.8875,60.155,16.0025,9.6325,,,1.3925,4.5625,20.9225,87.545,0.2875,145.9025,0.0,0.0,255.0,1020.7,0.1025
2023-01-01 11:00:00,174.0,371.34,6.6175,37.175,43.795,26.0925,37.9275,0.8975,64.7325,14.0725,7.6075,,,0.98,3.3225,22.0575,75.4975,0.3325,128.7875,0.0,0.0,196.225,1019.75,0.11
2023-01-01 12:00:00,172.05,384.175,6.76,38.8025,45.5625,26.21,40.8025,0.7925,70.815,12.5675,6.325,,,0.785,2.82,22.7225,64.35,0.5275,162.515,0.0,0.0,214.975,1018.625,0.125
2023-01-01 13:00:00,166.145,371.9775,6.0425,37.9225,43.965,26.465,37.3,0.7925,72.6275,12.535,5.8175,,,0.7175,2.4125,23.0375,63.555,0.51,139.55,0.0,0.0,166.95,1017.7,0.13
2023-01-01 14:00:00,161.5725,345.3775,6.3875,36.5475,42.935,27.16,29.25,0.6575,77.045,11.6275,5.2125,,,0.6174999999999999,2.075,23.285,63.0025,0.66,152.92000000000002,0.0,0.0,131.475,1017.2,0.095
2023-01-01 15:00:00,153.7875,332.41,6.745,35.915,42.66,27.075,22.03,0.6575,75.5775,10.2525,4.6075,,,0.415,1.435,22.8075,65.08,0.51,9.1525,0.0,0.0,63.05,1016.975,0.1075
2023-01-01 16:00:00,151.065,329.05,6.6,37.8975,44.5,25.9725,15.205000000000002,0.76,49.9325,10.1725,5.7225,,,0.685,2.3775,21.1025,77.4,0.54,85.545,0.0,0.0,13.875,1017.05,0.12
2023-01-01 17:00:00,148.62,319.1925,6.9325,47.8375,54.77,24.13,12.9225,1.1675,28.15,12.2625,10.3375,,,1.82,6.1525,19.7675,98.2675,0.74,75.4525,0.0,0.0,5.2,1017.75,0.0975
2023-01-01 18:00:00,151.08,319.9625,7.76,57.855,65.61500000000001,26.2925,12.21,1.2675,18.5625,16.2125,17.435000000000002,,,3.91,13.3725,19.085,99.275,0.525,200.86,0.0,0.0,5.2,1018.3,0.105
2023-01-01 19:00:00,168.07,344.89,7.435,52.2175,59.655,28.165,10.37,1.345,19.385,17.1125,17.255,,,3.7325,12.525,18.6025,99.3,0.5125,199.2325,0.0,0.0,7.300000000000001,1019.075,0.115
2023-01-01 20:00:00,178.83249999999998,379.4475,14.5925,58.215,72.8075,22.8075,11.0,1.7875,10.51,19.9,19.0825,,,3.925,13.4975,18.2675,99.3275,0.7625,167.5575,0.0,0.0,7.6,1019.575,0.105
2023-01-01 21:00:00,181.58,394.9925,11.34,53.365,64.705,29.1225,10.8325,1.3875,19.6625,19.26,20.2375,,,4.525,15.7075,18.2025,99.3125,0.7875,346.835,0.0,0.0,6.95,1019.975,0.1325
2023-01-01 22:00:00,177.3425,374.9375,8.2025,49.975,58.1775,30.12,10.145,1.0699999999999998,20.78,15.975,12.5875,,,2.305,8.36,17.6175,99.3675,0.7475,322.29,0.0,0.0,6.675,1019.625,0.1275
2023-01-01 23:00:00,176.63333333333333,363.4666666666667,8.25,46.88,55.126666666666665,29.316666666666663,9.363333333333332,1.2333333333333334,15.366666666666667,18.006666666666664,13.85,,,2.513333333333333,8.61,16.996666666666666,99.39666666666666,0.8033333333333333,238.23,0.0,0.0,6.933333333333334,1019.3333333333334,0.1433333333333333
2023-01-02 00:00:00,173.06,370.1075,7.6025,40.1625,47.765,28.79,7.74,1.06,16.22,17.4,11.1525,,,1.6525,5.795,16.405,99.4225,0.685,192.05,0.0,0.0,7.35,1019.1,0.1175
2023-01-02 01:00:00,162.03,357.0275,7.76,37.1075,44.865,28.49,7.2875,0.8899999999999999,20.1175,16.4775,10.8375,,,1.415,5.0575,16.195,99.45,0.7150000000000001,207.6875,0.0,0.0,7.975,1018.625,0.1175
2023-01-02 02:00:00,155.0075,330.89,7.245,37.1725,44.4175,28.0875,7.825,0.72,24.6225,13.4,13.1175,,,1.02,3.5925,16.2625,99.45,0.8574999999999999,337.245,0.0,0.0,7.325,1018.15,0.1125
2023-01-02 03:00:00,158.3075,347.7575,6.885,33.2275,40.1125,28.1825,6.955,0.7325,36.455,12.6075,8.1175,,,0.8775,3.0,15.98,99.4425,1.05,268.45,0.0,0.0,6.975,1018.025,0.1025
2023-01-02 04:00:00,162.79,360.735,6.4625,29.98,36.44,27.515,6.3175,0.755,37.61,12.435,6.9525,,,0.75,2.3200000000000003,15.6225,99.4425,0.5675,265.5625,0.0,0.0,6.45,1018.35,0.1125
2023-01-02 05:00:00,158.0775,342.6575,6.2525,29.2325,35.4825,26.98,6.2475,0.7725,37.39,12.475,6.835,,,0.75,2.2425,15.395,99.45,0.7575000000000001,175.005,0.0,0.0,6.725,1019.025,0.1325
2023-01-02 06:00:00,154.2175,330.1325,6.295,30.32,36.6175,26.315,6.1375,0.8999999999999999,33.8725,13.18,7.529999999999999,,,0.915,2.7375,15.245,99.45,0.66,336.0425,0.0,0.0,16.75,1019.975,0.1125
2023-01-02 07:00:00,163.915,349.14,6.455,31.5375,37.995,26.155,6.6525,0.965,38.197500000000005,14.065,8.46,,,1.14,3.605,15.49,99.45,0.9025,258.8325,0.0,0.0,55.125,1020.9,0.1075
2023-01-02 08:00:00,173.385,366.73,6.8025,31.395,38.2,25.675,6.285,0.95,39.1775,13.8425,8.094999999999999,,,1.045,3.31,15.8275,99.44,0.9925,9.92,0.0,0.0,99.9,1021.725,0.14
2023-01-02 09:00:00,172.54250000000002,362.72,6.715,32.0075,38.7225,25.64,6.86,0.9875,39.8525,13.6075,8.467500000000001,,,1.165,3.8325,17.725,99.355,0.7575000000000001,353.7175,0.0,0.0,205.55,1021.825,0.1225
2023-01-02 10:00:00,172.585,353.8775,6.95,32.5025,39.45,26.68,5.9475,0.99,44.98,13.56,8.4725,,,1.2225,3.9125,19.2775,99.18,0.49,262.4225,0.0,0.0,317.4,1021.475,0.095
2023-01-02 11:00:00,183.3,356.5375,6.675,33.5725,40.245000000000005,28.3325,5.5225,1.0275,59.17,13.0425,7.6275,,,1.085,3.705,20.8075,88.5175,0.665,183.88,0.0,0.0,347.5,1020.7,0.0925
2023-01-02 12:00:00,,,6.4475,32.754999999999995,39.205,28.5,5.97,0.985,59.83,12.685,8.2625,,,1.0025,3.42,21.905,77.785,0.78,95.03,0.0,0.0,330.625,1019.725,0.13
2023-01-02 13:00:00,217.01,434.73,,,,,7.5875,0.8966666666666666,78.4475,11.97,7.7825,,,0.925,3.0425,22.1275,67.6825,0.9875,13.9625,0.0,0.0,242.05,1018.775,0.1575
2023-01-02 14:00:00,215.1475,430.64,6.4325,29.51,35.9575,27.4725,7.395,0.7275,84.7125,10.9575,5.795,,,0.69,2.3875,22.01,66.2225,1.0875,13.58,0.0,0.0,172.975,1018.1,0.1275
2023-01-02 15:00:00,201.7025,398.4225,6.8025,31.9925,38.7925,28.045,8.004999999999999,0.775,82.95,11.3275,6.9025,,,0.875,3.01,21.78,64.4125,0.9475,264.8825,0.0,0.0,74.2,1017.775,0.13
2023-01-02 16:00:00,195.435,368.345,6.6625,35.82,42.4875,26.86,6.9325,0.8575,57.035,11.6875,10.63,,,1.2375,4.4375,20.38,78.545,1.1325,21.835,0.0,0.0,17.725,1018.2,0.1575
2023-01-02 17:00:00,204.66,366.775,6.385,38.66,45.0425,27.3425,7.585,0.9625,45.3875,13.2625,10.4475,,,1.44,5.3675,18.9275,97.4075,1.1,25.215,0.0,0.0,4.65,1019.175,0.155
2023-01-02 18:00:00,315.1875,393.24,6.4925,40.4875,46.9825,26.8375,10.23,0.9875,38.6675,14.115,13.5475,,,1.7075,6.2575,17.89,99.3,1.2525,18.725,0.0,0.0,5.975,1019.875,0.13
2023-01-02 19:00:00,244.65,409.295,7.395,40.5375,47.93,27.1425,9.4,0.9825,36.4725,14.2725,14.1075,,,1.8475,6.7025,17.02,99.3625,1.13,98.61,0.0,0.0,6.225,1020.6,0.1375
2023-01-02 20:00:00,226.0375,401.9775,7.3425,37.875,45.2175,26.965,8.567499999999999,1.02,30.8025,14.905,12.6975,,,1.9125,6.3025,16.205,99.3925,0.975,179.58999999999995,0.0,0.0,6.175000000000001,1021.225,0.1325
2023-01-02 21:00:00,199.185,388.63,6.7225,36.255,42.98,26.39,8.0825,0.9175,27.28,13.71,10.2525,,,1.4175,5.0075,15.5925,99.3625,0.8775,179.8225,0.0,0.0,6.925,1021.35,0.14
2023-01-02 22:00:00,204.6075,400.925,6.9,34.0725,40.97,26.8875,7.9475,0.8875,27.69,12.8425,8.5025,,,1.0225,3.335,15.0,99.45,1.1375,93.91,0.0,0.0,6.95,1021.025,0.14
2023-01-02 23:00:00,197.81000000000003,374.82,6.420000000000001,30.540000000000003,36.95666666666667,27.43,7.726666666666667,0.7833333333333333,33.56666666666667,12.893333333333333,7.826666666666667,,,0.8666666666666667,2.49,14.36,99.45666666666666,1.18,4.62,0.0,0.0,7.966666666666666,1020.6,0.14
2023-01-03 00:00:00,165.29250000000002,341.1875,6.2575,27.895,34.1475,26.3225,7.2575,0.7925,39.535,11.775,6.5575,,,0.5700000000000001,1.54,14.465,99.48,0.8825000000000001,92.96,0.0,0.0,7.55,1020.3,0.1475
2023-01-03 01:00:00,144.16000000000005,315.3275,6.5425,25.8475,32.3875,26.32,7.395,0.6975,49.32,11.2075,6.1875,,,0.5700000000000001,1.4475,14.31,99.48,1.0525,93.1125,0.0,0.0,7.85,1019.85,0.12
2023-01-03 02:00:00,154.955,345.2,6.0,25.675,31.6725,25.805,7.5225,0.71,52.6375,10.7075,5.7275,,,0.4775,1.2275,14.4325,99.48,0.8525,180.2,0.0,0.0,8.125,1019.525,0.14
2023-01-03 03:00:00,155.085,315.51,6.1875,25.335,31.5225,25.41,7.435,0.665,54.825,10.0325,5.3175,,,0.425,1.0775,14.4875,99.4625,0.6950000000000001,342.8725,0.0,0.0,7.7,1019.575,0.125
2023-01-03 04:00:00,154.475,291.9775,6.105,24.6825,30.7875,25.3225,7.439999999999999,0.645,52.805,9.7075,5.12,,,0.335,0.905,14.3225,99.45,0.8425,12.302499999999998,0.0,0.0,7.35,1019.775,0.135
2023-01-03 05:00:00,152.395,301.42,5.6575,25.0675,30.725,24.895,7.28,0.6775,49.9525,9.5775,5.1025,,,0.37,0.9875,14.1825,99.405,0.975,267.85,0.0,0.0,7.725,1020.35,0.1225
2023-01-03 06:00:00,158.335,332.7475,6.234999999999999,26.2375,32.474999999999994,24.6175,7.475,0.71,48.3125,9.7175,5.3025,,,0.405,1.19,14.14,99.4,0.945,94.0,0.0,0.0,17.075,1021.225,0.1475
2023-01-03 07:00:00,160.8075,330.5675,6.3725000000000005,26.3225,32.695,25.0975,8.305,0.79,50.5025,9.8725,5.625,,,0.535,1.6800000000000002,14.37,99.3975,1.115,15.552499999999998,0.0,0.0,64.75,1021.975,0.145
2023-01-03 08:00:00,161.0525,325.40000000000003,6.3375,27.1875,33.525,24.3925,8.78,0.8075,48.6875,10.0075,5.9,,,0.605,1.995,15.515,99.345,0.755,9.3,0.0,0.0,179.77499999999998,1022.525,0.1575
2023-01-03 09:00:00,166.185,331.115,6.4825,28.48,34.9625,24.475,9.0625,0.7725,50.620000000000005,9.9925,6.345,,,0.6875,2.4375,17.6075,97.555,0.7225,97.045,0.0,0.0,279.925,1022.575,0.15
2023-01-03 10:00:00,186.45,359.64250000000004,6.295,30.46,36.7525,24.2925,10.395,0.7425,62.735,10.313333333333333,8.07,,,0.8133333333333334,3.1,19.615,71.95,0.635,93.3725,0.0,0.0,412.7,1022.05,0.125
2023-01-03 11:00:00,190.2475,362.9775,6.335,30.9825,37.3175,26.925,9.0225,0.83,77.7375,,,,,,,21.2025,58.705,0.6875,12.0825,0.0,0.0,445.25,1020.975,0.1475
2023-01-03 12:00:00,180.6475,351.56,6.3825,30.055,36.4375,26.605,9.1475,0.7475,86.705,36.53,40.16,,,35.13,37.95,22.52,51.395,0.925,13.91,0.0,0.0,432.175,1019.45,0.1675
2023-01-03 13:00:00,168.1275,325.235,6.45,30.3575,36.807500000000005,26.8375,10.1325,0.6375,94.45,7.8525,12.865,,,1.7525,3.655,23.055,46.1425,1.25,14.6725,0.0,0.0,302.3,1018.225,0.165
2023-01-03 14:00:00,169.76,316.1075,5.9125,28.355,34.27,25.435,9.21,0.5275,92.0775,6.215,5.5825,,,0.5675,1.9625,22.975,43.9025,1.115,14.3425,0.0,0.0,216.375,1017.5,0.1525
2023-01-03 15:00:00,148.35750000000002,285.27,6.0625,28.285,34.3525,25.01,8.0675,0.6275,82.305,6.06,3.775,,,0.3675,1.42,22.545,46.97,0.9025,96.5425,0.0,0.0,85.125,1017.125,0.12
2023-01-03 16:00:00,134.995,268.28,6.279999999999999,35.69,41.97,24.895,7.66,0.78,57.6425,7.5375,11.5525,,,1.0,3.325,20.465,56.445,0.7425,142.8575,0.0,0.0,16.75,1017.225,0.13
2023-01-03 17:00:00,136.22,266.575,6.675000000000001,43.8475,50.525,26.635,8.215,0.92,42.95,9.205,10.7475,,,2.15,5.9925,18.525,67.065,0.7575000000000001,261.7925,0.0,0.0,3.975,1017.825,0.1325
2023-01-03 18:00:00,150.665,302.70500000000004,7.32,52.6425,59.9675,27.5425,9.755,1.0275,31.5125,14.89,13.6325,,,2.9675,8.2675,17.98,72.5325,0.8525,174.23250000000002,0.0,0.0,6.325,1018.65,0.1225
2023-01-03 19:00:00,179.16,354.775,7.1875,45.415,52.6075,28.7975,11.55,1.0775,46.4125,13.3275,24.54,,,2.78,7.67,17.4675,77.4775,1.0425,98.625,0.0,0.0,6.8,1019.375,0.105
2023-01-03 20:00:00,186.7975,374.7475,6.39,41.2525,47.645,27.785,10.5825,0.9275,44.182500000000005,14.205,16.3375,,,1.8775,5.5600000000000005,16.4125,93.815,1.1425,104.77,0.0,0.0,6.05,1019.85,0.1275
2023-01-03 21:00:00,182.455,366.3075,6.4425,39.57,46.010000000000005,26.275,9.475,0.9925,35.01,10.3575,8.442499999999999,,,1.12,3.565,15.3625,99.3225,1.1425,33.185,0.0,0.0,5.8,1020.125,0.14
2023-01-03 22:00:00,186.2075,381.825,7.1375,33.8925,41.0275,27.22,10.5375,0.7625,41.8675,12.3725,9.475,,,1.11,3.265,14.8275,99.3575,0.9125,187.2275,0.0,0.0,6.525,1020.275,0.13
2023-01-03 23:00:00,193.43,383.98,6.8,32.550000000000004,39.35333333333333,26.51333333333333,9.953333333333331,0.8066666666666666,39.25333333333333,10.4,6.796666666666667,,,0.6533333333333333,1.846666666666667,14.486666666666666,99.38,0.9966666666666666,354.22,0.0,0.0,7.2,1020.3333333333334,0.1033333333333333
2023-01-04 00:00:00,183.65,370.4275,6.5275,30.3875,36.915,26.3075,8.8775,0.6799999999999999,34.6225,10.7175,6.7675,,,0.6950000000000001,1.8325,13.73,99.385,1.1275,92.33,0.0,0.0,7.175,1020.325,0.115
