From Date,To Date,PM2.5,PM10,NOx,SO2
01-01-2025 00:00,01-01-2025 01:00,71.8,119.16,19.39,12.55
01-01-2025 01:00,01-01-2025 02:00,69.47,112.67,18.54,12.11
01-01-2025 02:00,01-01-2025 03:00,60.21,109.55,18.73,10.91
01-01-2025 03:00,01-01-2025 04:00,56.34,107.03,18.78,11.07
01-01-2025 04:00,01-01-2025 05:00,60.99,112.31,18.1,11.13
01-01-2025 05:00,01-01-2025 06:00,62.8,115.34,18.92,10.88
01-01-2025 06:00,01-01-2025 07:00,61.95,116.96,20.11,12.45
01-01-2025 07:00,01-01-2025 08:00,65.08,116.49,21.84,14.06
01-01-2025 08:00,01-01-2025 09:00,70.98,123.97,20.45,12.15
01-01-2025 09:00,01-01-2025 10:00,67.7,121.73,20.06,11.66
01-01-2025 10:00,01-01-2025 11:00,63.24,117.59,19.62,12.79
01-01-2025 11:00,01-01-2025 12:00,64.12,116.54,18.56,12.73
01-01-2025 12:00,01-01-2025 13:00,63.11,116.74,18.67,12.57
01-01-2025 13:00,01-01-2025 14:00,69.07,114.22,18.73,13.49
01-01-2025 14:00,01-01-2025 15:00,70.43,114.19,19.14,11.99
01-01-2025 15:00,01-01-2025 16:00,61.25,109.39,19.48,12.68
01-01-2025 16:00,01-01-2025 17:00,57.84,100.92,21.94,12.95
01-01-2025 17:00,01-01-2025 18:00,61.66,107.7,26.86,13.96
01-01-2025 18:00,01-01-2025 19:00,59.45,115.94,30.7,14.79
01-01-2025 19:00,01-01-2025 20:00,60.53,118.52,29.34,21.34
01-01-2025 20:00,01-01-2025 21:00,61.5,118.34,26.5,15.25
01-01-2025 21:00,01-01-2025 22:00,64.25,120.39,23.88,11.01
01-01-2025 22:00,01-01-2025 23:00,61.28,114.51,21.36,11
01-01-2025 23:00,02-01-2025 00:00,63.69,112.8,22.08,11.56
02-01-2025 00:00,02-01-2025 01:00,69.38,113.92,20.17,10.96
02-01-2025 01:00,02-01-2025 02:00,69.56,115.71,20.24,12.04
02-01-2025 02:00,02-01-2025 03:00,66.15,112.59,20.46,11.45
02-01-2025 03:00,02-01-2025 04:00,65.37,114.06,19.8,11.19
